Time stamp,Water volume in tunnel V (m3),Inflow to tunnel F1 (m3/15 min),Outflow (m3/15 min),Pump efficiency 1.1 (kW),Pump efficiency 1.2 (kW),Pump efficiency 1.3 (kW),Pump efficiency 1.4 (kW),Pump efficiency 2.1 (kW),Pump efficiency 2.2 (kW),Pump efficiency 2.3 (kW),Pump efficiency 2.4 (kW),Pump flow 1.1 (m3/15 min),Pump flow 1.2 (m3/15 min),Pump flow 1.3 (m3/15 min),Pump flow 1.4 (m3/15 min),Pump flow 2.1 (m3/15 min),Pump flow 2.2 (m3/15 min),Pump flow 2.3 (m3/15 min),Pump flow 2.4 (m3/15 min),Electricity price 2: normal (EUR/kWh),Electricity price 1: high (EUR/kWh)
2024-11-15 07:00:00,35013.91638183594471911419535,333.060852050781022626324556767940521240234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7660000000000000142108547152020037174224853515625,30.379999999999999005240169935859739780426025390625
2024-11-15 07:15:00,35413.90557861328869648787079,399.989196777343977373675443232059478759765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7660000000000000142108547152020037174224853515625,30.379999999999999005240169935859739780426025390625
2024-11-15 07:30:00,35773.65716552735170807864054,359.75158691406301159076974727213382720947265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7660000000000000142108547152020037174224853515625,30.379999999999999005240169935859739780426025390625
2024-11-15 07:45:00,36149.54879760742971939180282,375.8916320800780113131622783839702606201171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7660000000000000142108547152020037174224853515625,30.379999999999999005240169935859739780426025390625
2024-11-15 08:00:00,36728.37075805664869676547826,578.821960449218977373675443232059478759765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.43400000000000016342482922482304275035858154296875,40.58899999999999863575794734060764312744140625
2024-11-15 08:15:00,37304.38439941407068545231598,576.0136413574219886868377216160297393798828125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.43400000000000016342482922482304275035858154296875,40.58899999999999863575794734060764312744140625
2024-11-15 08:30:00,37778.68737792969568545231598,474.302978515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.43400000000000016342482922482304275035858154296875,40.58899999999999863575794734060764312744140625
2024-11-15 08:45:00,38288.95471191407068545231598,510.267333984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.43400000000000016342482922482304275035858154296875,40.58899999999999863575794734060764312744140625
2024-11-15 09:00:00,38985.93847656250864019966687,696.98376464843795474735088646411895751953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1470000000000002415845301584340631961822509765625,68.195999999999997953636921010911464691162109375
2024-11-15 09:15:00,39725.52087402344659494701776,739.58239746093795474735088646411895751953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1470000000000002415845301584340631961822509765625,68.195999999999997953636921010911464691162109375
2024-11-15 09:30:00,40476.97082519532159494701776,751.449951171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1470000000000002415845301584340631961822509765625,68.195999999999997953636921010911464691162109375
2024-11-15 09:45:00,41279.24163818360261757334232,802.270812988281022626324556767940521240234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1470000000000002415845301584340631961822509765625,68.195999999999997953636921010911464691162109375
2024-11-15 10:00:00,42175.36480712891557232069321,896.12316894531295474735088646411895751953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1270000000000000017763568394002504646778106689453125,74.2740000000000009094947017729282379150390625
2024-11-15 10:15:00,43108.36352539063454969436865,932.998718261718977373675443232059478759765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1270000000000000017763568394002504646778106689453125,74.2740000000000009094947017729282379150390625
2024-11-15 10:30:00,44036.92681884766557232069321,928.563293457031022626324556767940521240234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1270000000000000017763568394002504646778106689453125,74.2740000000000009094947017729282379150390625
2024-11-15 10:45:00,44942.53802490235352706804410,905.61120605468795474735088646411895751953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1270000000000000017763568394002504646778106689453125,74.2740000000000009094947017729282379150390625
2024-11-15 11:00:00,45904.35223388672852706804410,961.814208984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2980000000000000426325641456060111522674560546875,74.3990000000000009094947017729282379150390625
2024-11-15 11:15:00,47022.17669677735852928890385,1117.82446289063000222085975110530853271484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2980000000000000426325641456060111522674560546875,74.3990000000000009094947017729282379150390625
2024-11-15 11:30:00,48043.56945800782852984411879,1021.3927612304700005552149377763271331787109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2980000000000000426325641456060111522674560546875,74.3990000000000009094947017729282379150390625
2024-11-15 11:45:00,49159.06567382813852873368891,1115.496215820309998889570124447345733642578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2980000000000000426325641456060111522674560546875,74.3990000000000009094947017729282379150390625
2024-11-15 12:00:00,50302.87475585938852873368891,1143.80908203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6270000000000000017763568394002504646778106689453125,74.26699999999999590727384202182292938232421875
2024-11-15 12:15:00,51505.30297851563852873368891,1202.42822265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6270000000000000017763568394002504646778106689453125,74.26699999999999590727384202182292938232421875
2024-11-15 12:30:00,52733.22851562501853095454866,1227.92553710938000222085975110530853271484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6270000000000000017763568394002504646778106689453125,74.26699999999999590727384202182292938232421875
2024-11-15 12:45:00,53986.93176269532852984411878,1253.703247070309998889570124447345733642578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6270000000000000017763568394002504646778106689453125,74.26699999999999590727384202182292938232421875
2024-11-15 13:00:00,55239.49066162110864297574156,1252.558898925780113131622783839702606201171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3689999999999999946709294817992486059665679931640625,76.8479999999999989768184605054557323455810546875
2024-11-15 13:15:00,56465.85797119141864186531168,1226.367309570309998889570124447345733642578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3689999999999999946709294817992486059665679931640625,76.8479999999999989768184605054557323455810546875
